"lat","lon","location_type","formatted","Actual_Address"
42.0792607,-71.0454752,"premise","271 West St, Brockton, MA 02301, USA","271 WEST ST, BROCKTON, MA"
42.094845,-71.0212406,"premise","14 Coburn St, Brockton, MA 02301, USA","14 COBURN ST, BROCKTON, MA"
42.1178392,-71.0099553,"street_address","135 Jon Dr, Brockton, MA 02302, USA","135 JON DR, BROCKTON, MA"
42.0992424,-71.0227648,"premise","47 Upland Rd, Brockton, MA 02301, USA","47 UPLAND RD, BROCKTON, MA"
42.0961198,-71.0092331,"intersection","E Ashland St & N Cary St, Brockton, MA 02302, USA","236 E ASHLAND ST, BROCKTON, MA @ 258 N CARY ST, BROCKTON, MA"
42.0932755,-70.9902775,"premise","45 Quincy St, Brockton, MA 02302, USA","45 QUINCY ST, BROCKTON, MA"
42.0806649,-71.0117883,"premise","250 Crescent St, Brockton, MA 02302, USA","250 CRESCENT ST, BROCKTON, MA"
42.0805941,-71.005922,"premise","37 Erie Ave, Brockton, MA 02302, USA","37 ERIE AVE, BROCKTON, MA"
42.0727731,-71.0449097,"street_address","609 Belmont St, Brockton, MA 02301, USA","609 BELMONT ST, BROCKTON, MA"
42.0645411,-71.010843,"premise","100 Perkins Ave, Brockton, MA 02302, USA","100 PERKINS AVE, BROCKTON, MA"
42.0944043,-71.019296,"intersection","N Main St & Ford St, Brockton, MA 02301, USA","445 N MAIN ST, BROCKTON, MA @ 35 FORD ST, BROCKTON, MA"
42.1152304,-70.999775,"premise","638 N Quincy St, Brockton, MA 02302, USA","638 N QUINCY ST, BROCKTON, MA"
42.0745589,-71.0299227,"premise","107 Grafton St, Brockton, MA 02301, USA","107 GRAFTON ST, BROCKTON, MA"
42.1057566,-71.0219856,"premise","68 Field St, Brockton, MA 02301, USA","68 FIELD ST, BROCKTON, MA"
42.0834571,-71.0056571,"premise","355 Centre St, Brockton, MA 02302, USA","355 CENTRE ST, BROCKTON, MA"
42.086129,-71.0125635,"premise","205 Court St, Brockton, MA 02302, USA","205 COURT ST, BROCKTON, MA"
42.0600624,-71.0074943,"street_address","102 Auburn St, Brockton, MA 02302, USA","102 AUBURN ST, BROCKTON, MA"
42.0598985,-71.0261695,"premise","254 Market St, Brockton, MA 02301, USA","254 MARKET ST, BROCKTON, MA"
42.0807338,-71.0202266,"intersection","Belmont St & Main St, Brockton, MA 02301, USA","235 MAIN ST, BROCKTON, MA @ 1 BELMONT ST, BROCKTON, MA"
42.0765512,-71.0424626,"street_address","91 Morse Ave, Brockton, MA 02301, USA","91 MORSE AVE, BROCKTON, MA"
42.0645684,-71.0313104,"street_address","149 Falconer Ave, Brockton, MA 02301, USA","149 FALCONER AVE, BROCKTON, MA"
42.0601949,-71.019728,"street_address","105 Keith Ave, Brockton, MA 02301, USA","105 KEITH AVE, BROCKTON, MA"
42.0991535,-71.0403647,"street_address","41 Tucker Dr, Brockton, MA 02301, USA","41 TUCKER DR, BROCKTON, MA"
42.0948535,-71.0398351,"premise","140 Colonel Bell Dr, Brockton, MA 02301, USA","140 COLONEL BELL DR, BROCKTON, MA"
42.0891639,-71.0370894,"premise","411 Pleasant St, Brockton, MA 02301, USA","411 PLEASANT ST, BROCKTON, MA"
42.0648451,-71.0312104,"street_address","138 Falconer Ave, Brockton, MA 02301, USA","138 FALCONER AVE, BROCKTON, MA"
42.0926765,-71.0374473,"street_address","105 Belair St, Brockton, MA 02301, USA","105 BELAIR ST, BROCKTON, MA"
42.0597724,-71.0146504,"street_address","1289 Main St, Brockton, MA 02301, USA","1289 MAIN ST, BROCKTON, MA"
42.0837835,-71.0365399,"street_address","24 Boylston St, Brockton, MA 02301, USA","24 BOYLSTON ST, BROCKTON, MA"
42.1110097,-71.0205677,"premise","57 Oscar Ave, Brockton, MA 02302, USA","57 OSCAR AVE, BROCKTON, MA"
42.1113276,-71.0323787,"street_address","1071 N Main St, Brockton, MA 02301, USA","1071 N MAIN ST, BROCKTON, MA"
42.0793922,-71.0193458,"premise","304 Main St, Brockton, MA 02301, USA","304 MAIN ST, BROCKTON, MA"
42.0592893,-71.0143676,"premise","1315 Main St, Brockton, MA 02301, USA","1315 MAIN ST, BROCKTON, MA"
42.0865661,-71.0227446,"street_address","66 Spring St, Brockton, MA 02301, USA","66 SPRING ST, BROCKTON, MA"
42.084489,-71.0046878,"premise","82 Cary St, Brockton, MA 02302, USA","82 CARY ST, BROCKTON, MA"
42.1070678,-71.0237154,"premise","880 N Montello St, Brockton, MA 02301, USA","880 N MONTELLO ST, BROCKTON, MA"
42.104721,-71.0210778,"premise","797 N Montello St, Brockton, MA 02301, USA","797 N MONTELLO ST, BROCKTON, MA"
42.0728195,-70.9761024,"premise","260 Alger St, Brockton, MA 02302, USA","260 ALGER ST, BROCKTON, MA"
42.0901618,-71.038885,"intersection","Prospect St & Fields Ave, Brockton, MA 02301, USA","433 PROSPECT ST, BROCKTON, MA @ 28 FIELDS AVE, BROCKTON, MA"
42.0948907,-71.0555688,"premise","435 Westgate Dr, Brockton, MA 02301, USA","435 WESTGATE DR, BROCKTON, MA"
42.0587153,-70.9964952,"premise","186 Carl Ave, Brockton, MA 02302, USA","186 CARL AVE, BROCKTON, MA"
42.0601311,-71.0253687,"street_address","238 Market St, Brockton, MA 02301, USA","238 MARKET ST, BROCKTON, MA"
42.0851565,-71.0473017,"street_address","10 Fern Cir, Brockton, MA 02301, USA","10 FERN CIR, BROCKTON, MA"
42.0836903,-71.0215877,"street_address","68 Legion Pkwy, Brockton, MA 02301, USA","68 LEGION PKWY, BROCKTON, MA"
42.0605495,-71.0266983,"premise","270 W Chestnut St, Brockton, MA 02301, USA","270 W CHESTNUT ST, BROCKTON, MA"
42.080831,-71.0349493,"intersection","Ash St & W Elm St, Brockton, MA 02301, USA","234 ASH ST, BROCKTON, MA @ 359 W ELM ST, BROCKTON, MA"
42.0589412,-71.042031,"street_address","22 Emory St, Brockton, MA 02301, USA","22 EMORY ST, BROCKTON, MA"
42.0891495,-71.039587,"street_address","500 Pleasant St, Brockton, MA 02301, USA","500 PLEASANT ST, BROCKTON, MA"
42.0840492,-71.0172568,"intersection","MA-28 & MA-123 & Centre St, Brockton, MA 02301, USA","75 MONTELLO ST, BROCKTON, MA @ 74 CENTRE ST, BROCKTON, MA"
42.089522,-71.0272202,"premise","45 Oakdale St, Brockton, MA 02301, USA","45 OAKDALE ST, BROCKTON, MA"
42.0911495,-70.9778739,"route","Short St, Brockton, MA 02302, USA","SHORT ST, BROCKTON, MA"
42.0936005,-71.0193044,"intersection","N Main St & E Ashland St, Brockton, MA 02301, USA","2 E ASHLAND ST, BROCKTON, MA @ 382 N MAIN ST, BROCKTON, MA"
42.0805606,-70.9882279,"premise","755 Crescent St, Brockton, MA 02302, USA","755 CRESCENT ST, BROCKTON, MA"
42.0839174,-71.0265364,"street_address","73 Highland St, Brockton, MA 02301, USA","73 HIGHLAND ST, BROCKTON, MA"
42.0952036,-71.0363205,"street_address","37 Berglund Ave, Brockton, MA 02301, USA","37 BERGLUND AVE, BROCKTON, MA"
42.090894,-71.037427,"intersection","Belair St & Colonel Bell Dr, Brockton, MA 02301, USA","64 BELAIR ST, BROCKTON, MA @  1 COLONEL BELL DR, BROCKTON, MA"
42.1008047,-71.0304699,"route","Kennedy Dr, Brockton, MA 02301, USA","KENNEDY DR, BROCKTON, MA"
42.085937,-71.0062638,"premise","52 Standish St, Brockton, MA 02302, USA","52 STANDISH ST, BROCKTON, MA"
42.0673408,-71.02026,"intersection","Warren Ave & Nilsson St, Brockton, MA 02301, USA","897 WARREN AVE, BROCKTON, MA @ 80 NILSSON ST, BROCKTON, MA"
42.0699604,-71.0470009,"premise","715 Belmont St, Brockton, MA 02301, USA","715 BELMONT ST, BROCKTON, MA"
42.086891,-71.0195711,"intersection","N Main St & Spring St, Brockton, MA 02301, USA","62 N MAIN ST, BROCKTON, MA @ 1 SPRING ST, BROCKTON, MA"
42.0818068,-71.0264005,"intersection","W Elm St & Newbury St, Brockton, MA 02301, USA","138 NEWBURY ST , BROCKTON, MA @ 195 W ELM ST, BROCKTON, MA"
42.0870075,-71.0277906,"street_address","227 Pleasant St, Brockton, MA 02301, USA","227 PLEASANT ST, BROCKTON, MA"
42.0465601,-71.0103443,"street_address","1930 Main St, Brockton, MA 02301, USA","1930 MAIN ST, BROCKTON, MA"
42.0896844,-71.0430235,"premise","567 Pleasant St, Brockton, MA 02301, USA","567 PLEASANT ST, BROCKTON, MA"
42.0938356,-71.0342691,"premise","32 Earle St, Brockton, MA 02301, USA","32 EARLE ST, BROCKTON, MA"
42.0891612,-71.0240912,"premise","101 Wyman St, Brockton, MA 02301, USA","101 WYMAN ST, BROCKTON, MA"
